sample,sex,sow,dg,group,group.order,lt,date,time,testday,context,oxt_pgml,plate.name
4,f,6420,DG-5,W,2,61,16. Feb 21,10:25,Separation,Separation,77.635,BS_OXT_19.05.21
9,f,6073,DG-3,W,2,62,04. Nov 20,09:39,Separation,Separation,78.064,BS_OXT_06.05.21
5,m,6235,DG-2,F,1,61,22. Sep 20,10:52,Reunion,Reunion,78.24,BS_OXT_21.04.21
1,m,6421,DG-5,F,1,50,05. Feb 21,08:25,Baseline2,Baseline,79.079,BS_OXT_13.07.21
1,m,6142,DG-2,W,2,60,21. Sep 20,09:41,Baseline3,Baseline,81.615,BS_OXT_21.04.21
4,f,6421,DG-5,F,2,61,16. Feb 21,10:45,Baseline3,Baseline,82.093,BS_OXT_19.05.21
5,f,6420,DG-5,W,1,36,22. Jan 21,08:49,Baseline1,Baseline,82.096,BS_OXT_13.04.21
9,f,6235,DG-5,W,2,63,18. Feb 21,09:59,Baseline3,Baseline,83.552,BS_OXT_25.05.21
3,m,6099,DG-4,F,2,60,14-Dec-20,10:02,Separation,Separation,83.786,BS_OXT_10.05.21
8,m,6407,DG-5,F,1,60,15. Feb 21,08:35,Baseline3,Baseline,84.059,BS_OXT_25.05.21
10,f,6407,DG-5,F,2,60,15. Feb 21,10:50,Reunion,Reunion,84.592,BS_OXT_19.05.21
3,f,6421,DG-5,F,2,61,16. Feb 21,09:17,Baseline3,Baseline,84.885,BS_OXT_19.05.21
4,f,6421,DG-5,F,2,61,16. Feb 21,11:28,Reunion,Reunion,85.137,BS_OXT_19.05.21
2,m,6421,DG-5,F,2,62,17. Feb 21,10:43,Reunion,Reunion,86.046,BS_OXT_19.05.21
6,m,6188,DG-4,F,2,61,15-Dec-20,10:38,Reunion,Reunion,86.301,BS_OXT_10.05.21
9,f,6369,DG-3,F,2,35,8-Oct-20,09:55,Play,Play,86.462,BS_OXT_03.03.21
1,m,6420,DG-5,W,2,64,19. Feb 21,09:40,Separation,Separation,87.826,BS_OXT_25.05.21
4,m,5931,DG-2,W,2,60,21. Sep 20,12:07,Reunion,Reunion,88.246,BS_OXT_21.04.21
1,m,6420,DG-5,W,2,64,19. Feb 21,10:00,Reunion,Reunion,88.504,BS_OXT_25.05.21
5,f,6197,DG-4,W,1,28,12. Nov 20,08:56,Absetzen,Weaning,89.177,BS_OXT_03.03.21
4,f,6420,DG-5,W,2,61,16. Feb 21,10:45,Reunion,Reunion,90.079,BS_OXT_19.05.21
4,m,5931,DG-2,W,1,28,20. Aug 20,08:46,Absetzen,Weaning,90.232,BS_OXT_08.12.20
9,f,6407,DG-5,F,2,63,18. Feb 21,09:11,Baseline3,Baseline,91.084,BS_OXT_25.05.21
2,m,6079,DG-3,W,2,60,02. Nov 20,09:20,Baseline3,Baseline,91.534,BS_OXT_22.04.21
5,m,6235,DG-2,F,1,61,22. Sep 20,10:04,Baseline3,Baseline,91.948,BS_OXT_21.04.21
5,f,6271,DG-3,F,2,35,8-Oct-20,09:50,Play,Play,92.531,BS_OXT_03.03.21
3,f,6142,DG-2,W,2,61,22. Sep 20,11:41,Reunion,Reunion,92.603,BS_OXT_22.04.21
1,m,6420,DG-5,W,1,35,21. Jan 21,08:36,Play,Play,92.677,BS_OXT_30.03.21
6,f,6235,DG-2,F,2,28,20. Aug 20,09:03,Absetzen,Weaning,93.766,BS_OXT_08.12.20
9,f,6407,DG-5,F,1,48,03. Feb 21,08:35,Baseline2,Baseline,94.323,BS_OXT_13.07.21
9,f,6310,DG-4,W,1,28,12. Nov 20,08:52,Absetzen,Weaning,94.412,BS_OXT_03.03.21
2,m,6420,DG-5,W,1,28,14. Jan 21,08:42,Absetzen,Weaning,94.541,BS_OXT_30.03.21
6,m,6310,DG-4,W,2,60,14-Dec-20,10:45,Separation,Separation,95.618,BS_OXT_10.05.21
10,f,6310,DG-4,W,1,46,14-Dec-20,09:16,Separation,Separation,96.674,BS_OXT_10.05.21
8,f,6188,DG-4,F,2,28,12. Nov 20,09:24,Absetzen,Weaning,96.819,BS_OXT_29.03.21
3,f,6271,DG-3,F,2,64,06. Nov 20,10:45,Reunion,Reunion,97.028,BS_OXT_10.05.21
9,f,6073,DG-3,W,2,62,04. Nov 20,09:12,Baseline3,Baseline,97.562,BS_OXT_06.05.21
2,m,6197,DG-4,W,1,28,12. Nov 20,08:46,Absetzen,Weaning,97.906,BS_OXT_03.03.21
5,f,6271,DG-3,F,2,61,03. Nov 20,11:18,Separation,Separation,98.837,BS_OXT_06.05.21
1,m,6421,DG-5,F,1,62,17. Feb 21,09:12,Reunion,Reunion,99.107,BS_OXT_19.05.21
6,m,6235,DG-5,W,1,61,16. Feb 21,08:30,Baseline3,Baseline,99.86,BS_OXT_19.05.21
1,m,6420,DG-5,W,2,64,19. Feb 21,09:15,Baseline3,Baseline,100.595,BS_OXT_25.05.21
4,f,6197,DG-4,W,1,28,12. Nov 20,08:48,Absetzen,Weaning,101.136,BS_OXT_03.03.21
1,m,6421,DG-5,F,2,35,21. Jan 21,09:49,Play,Play,101.544,BS_OXT_30.03.21
6,m,6235,DG-5,W,1,36,22. Jan 21,08:49,Baseline1,Baseline,102.225,BS_OXT_13.04.21
6,m,6310,DG-4,W,2,60,14-Dec-20,11:10,Reunion,Reunion,102.706,BS_OXT_10.05.21
4,f,6079,DG-3,W,1,61,03. Nov 20,08:21,Baseline3,Baseline,102.726,BS_OXT_22.04.21
9,f,6310,DG-4,W,2,61,15-Dec-20,09:47,Reunion,Reunion,103.492,BS_OXT_18.05.21
5,f,6079,DG-3,W,1,36,9-Oct-20,08:53,Baseline1,Baseline,103.688,BS_OXT_03.03.21
1,m,6079,DG-3,W,1,36,9-Oct-20,08:49,Baseline1,Baseline,103.729,BS_OXT_03.03.21
8,m,6407,DG-5,F,2,35,21. Jan 21,09:46,Play,Play,104.056,BS_OXT_30.03.21
9,f,6235,DG-5,W,1,36,22. Jan 21,08:41,Baseline1,Baseline,104.493,BS_OXT_30.03.21
3,m,6197,DG-4,W,2,64,18-Dec-20,08:49,Baseline3,Baseline,105.395,BS_OXT_19.05.21
4,f,6271,DG-3,F,2,36,9-Oct-20,09:43,Baseline1,Baseline,105.554,BS_OXT_03.03.21
7,m,6235,DG-5,W,1,50,05. Feb 21,08:25,Baseline2,Baseline,105.647,BS_OXT_12.07.21
7,m,6188,DG-4,F,2,28,12. Nov 20,09:16,Absetzen,Weaning,106.168,BS_OXT_29.03.21
2,m,6421,DG-5,F,2,36,22. Jan 21,09:32,Baseline1,Baseline,106.335,BS_OXT_13.04.21
1,m,6099,DG-4,F,2,35,19. Nov 20,09:43,Play,Play,106.642,BS_OXT_29.03.21
9,f,6369,DG-3,F,1,46,19-Oct-20,08:47,Baseline2,Baseline,108.161,BS_OXT_13.07.21
9,f,6188,DG-4,F,2,28,12. Nov 20,09:13,Absetzen,Weaning,109.074,BS_OXT_29.03.21
5,f,6099,DG-4,F,1,49,3-Dec-20,08:15,Baseline2,Baseline,109.329,BS_OXT_12.07.21
4,f,6197,DG-4,W,1,35,19. Nov 20,08:40,Play,Play,109.81,BS_OXT_29.03.21
4,f,6099,DG-4,F,2,35,19. Nov 20,09:42,Play,Play,110.258,BS_OXT_29.03.21
6,m,6073,DG-3,W,1,36,9-Oct-20,08:38,Baseline1,Baseline,110.579,BS_OXT_03.03.21
4,f,6420,DG-5,W,2,61,16. Feb 21,10:00,Baseline3,Baseline,110.613,BS_OXT_19.05.21
7,m,6310,DG-4,W,1,35,19. Nov 20,08:34,Play,Play,111.072,BS_OXT_29.03.21
9,f,6407,DG-5,F,2,49,04. Feb 21,10:25,Baseline2,Baseline,111.855,BS_OXT_13.07.21
10,f,6073,DG-3,W,1,63,05. Nov 20,09:12,Reunion,Reunion,112.205,BS_OXT_10.05.21
7,m,6407,DG-5,F,2,35,21. Jan 21,09:43,Play,Play,112.457,BS_OXT_30.03.21
3,f,6420,DG-5,W,1,36,22. Jan 21,09:36,Baseline1,Baseline,113.199,BS_OXT_30.03.21
3,f,6421,DG-5,F,2,47,02. Feb 21,10:36,Baseline2,Baseline,113.353,BS_OXT_13.07.21
4,f,6420,DG-5,W,1,36,22. Jan 21,08:39,Baseline1,Baseline,115.025,BS_OXT_30.03.21
2,m,6421,DG-5,F,1,48,03. Feb 21,08:30,Baseline2,Baseline,115.059,BS_OXT_12.07.21
4,f,6421,DG-5,F,2,36,22. Jan 21,09:45,Baseline1,Baseline,115.281,BS_OXT_13.04.21
5,f,6197,DG-4,W,1,49,3-Dec-20,08:10,Baseline2,Baseline,116.426,BS_OXT_12.07.21
6,f,5931,DG-2,W,1,28,20. Aug 20,08:36,Absetzen,Weaning,116.525,BS_OXT_08.12.20
4,m,5931,DG-2,W,1,35,27. Aug 20,08:37,Play,Play,117.135,BS_OXT_15.12.20
9,f,6369,DG-3,F,2,36,9-Oct-20,09:54,Baseline1,Baseline,117.368,BS_OXT_03.03.21
6,m,6073,DG-3,W,2,64,06. Nov 20,11:30,Reunion,Reunion,117.605,BS_OXT_10.05.21
5,f,6421,DG-5,F,2,36,22. Jan 21,09:35,Baseline1,Baseline,117.924,BS_OXT_13.04.21
7,m,6235,DG-5,W,2,62,17. Feb 21,09:12,Baseline3,Baseline,117.929,BS_OXT_25.05.21
6,m,6407,DG-5,F,2,36,22. Jan 21,09:38,Baseline1,Baseline,118.12,BS_OXT_13.04.21
6,m,6310,DG-4,W,1,46,30. Nov 20,09:36,Baseline2,Baseline,118.121,BS_OXT_12.07.21
8,m,6369,DG-3,F,2,63,05. Nov 20,09:38,Separation,Separation,118.268,BS_OXT_06.05.21
9,f,6310,DG-4,W,2,61,15-Dec-20,08:55,Baseline3,Baseline,118.396,BS_OXT_18.05.21
5,f,6099,DG-4,F,2,35,19. Nov 20,09:52,Play,Play,119.084,BS_OXT_29.03.21
2,f,6142,DG-2,W,1,28,20. Aug 20,08:44,Absetzen,Weaning,119.093,BS_OXT_08.12.20
3,m,6197,DG-4,W,1,50,4-Dec-20,08:15,Baseline2,Baseline,119.451,BS_OXT_12.07.21
7,m,6407,DG-5,F,1,64,19. Feb 21,08:56,Separation,Separation,120.814,BS_OXT_25.05.21
1,m,6197,DG-4,W,1,62,16-Dec-20,08:32,Baseline3,Baseline,120.9,BS_OXT_18.05.21
4,f,6197,DG-4,W,2,61,15-Dec-20,11:05,Separation,Separation,121.729,BS_OXT_18.05.21
4,f,6197,DG-4,W,1,36,20. Nov 20,08:36,Baseline1,Baseline,123.052,BS_OXT_29.03.21
6,f,6235,DG-2,F,1,46,07. Sep 20,08:40,Baseline2,Baseline,123.89,BS_OXT_13.04.21
1,m,6271,DG-3,F,2,35,8-Oct-20,09:53,Play,Play,124.408,BS_OXT_03.03.21
8,f,6188,DG-4,F,2,35,19. Nov 20,10:03,Play,Play,124.456,BS_OXT_29.03.21
5,m,5931,DG-2,W,2,62,23. Sep 20,11:00,Reunion,Reunion,124.687,BS_OXT_21.04.21
3,m,6099,DG-4,F,1,50,4-Dec-20,08:20,Baseline2,Baseline,125.302,BS_OXT_12.07.21
3,f,6271,DG-3,F,2,64,06. Nov 20,10:26,Separation,Separation,125.572,BS_OXT_10.05.21
5,f,6197,DG-4,W,1,35,19. Nov 20,08:56,Play,Play,127.029,BS_OXT_29.03.21
1,m,6099,DG-4,F,1,64,18-Dec-20,08:06,Baseline3,Baseline,127.166,BS_OXT_18.05.21
2,f,6142,DG-2,W,2,63,24. Sep 20,09:50,Separation,Separation,127.369,BS_OXT_22.04.21
4,f,6099,DG-4,F,2,28,12. Nov 20,09:19,Absetzen,Weaning,128.902,BS_OXT_29.03.21
4,m,5931,DG-2,W,2,60,21. Sep 20,11:21,Baseline3,Baseline,130.322,BS_OXT_21.04.21
2,m,6079,DG-3,W,2,60,02. Nov 20,09:45,Separation,Separation,130.679,BS_OXT_22.04.21
8,m,6073,DG-3,W,2,63,05. Nov 20,09:58,Baseline3,Baseline,132.273,BS_OXT_06.05.21
6,m,6407,DG-5,F,2,64,19. Feb 21,10:29,Separation,Separation,133.101,BS_OXT_25.05.21
9,f,6188,DG-4,F,2,60,14-Dec-20,11:59,Reunion,Reunion,133.607,BS_OXT_10.05.21
2,m,6271,DG-3,F,2,62,04. Nov 20,09:58,Baseline3,Baseline,134.637,BS_OXT_06.05.21
6,m,6235,DG-5,W,1,49,04. Feb 21,08:28,Baseline2,Baseline,134.882,BS_OXT_12.07.21
2,m,6420,DG-5,W,1,35,21. Jan 21,08:51,Play,Play,134.884,BS_OXT_30.03.21
7,m,6407,DG-5,F,2,28,14. Jan 21,09:25,Absetzen,Weaning,135.179,BS_OXT_30.03.21
5,m,6235,DG-2,F,2,49,10. Sep 20,10:29,Baseline2,Baseline,135.894,BS_OXT_21.04.21
1,m,6099,DG-4,F,2,36,20. Nov 20,09:56,Baseline1,Baseline,136.027,BS_OXT_29.03.21
6,m,6407,DG-5,F,2,35,21. Jan 21,09:38,Play,Play,136.234,BS_OXT_30.03.21
7,m,6310,DG-4,W,1,28,12. Nov 20,08:57,Absetzen,Weaning,136.673,BS_OXT_03.03.21
8,f,5764,DG-2,W,1,28,20. Aug 20,08:35,Absetzen,Weaning,137.61,BS_OXT_08.12.20
10,f,6235,DG-5,W,1,63,18. Feb 21,08:52,Separation,Separation,137.734,BS_OXT_25.05.21
5,f,6197,DG-4,W,1,36,20. Nov 20,08:46,Baseline1,Baseline,138.047,BS_OXT_29.03.21
7,m,6369,DG-3,F,1,62,04. Nov 20,08:54,Separation,Separation,138.988,BS_OXT_06.05.21
9,f,6188,DG-4,F,2,60,14-Dec-20,11:37,Separation,Separation,139.661,BS_OXT_10.05.21
10,f,6235,DG-5,W,1,63,18. Feb 21,09:11,Reunion,Reunion,139.755,BS_OXT_25.05.21
1,m,6271,DG-3,F,1,50,23-Oct-20,08:25,Baseline2,Baseline,141.51,BS_OXT_13.07.21
1,m,6142,DG-2,W,2,60,21. Sep 20,10:31,Reunion,Reunion,141.704,BS_OXT_21.04.21
10,f,6369,DG-3,F,2,35,8-Oct-20,09:47,Play,Play,142.206,BS_OXT_03.03.21
10,f,6407,DG-5,F,2,36,22. Jan 21,09:42,Baseline1,Baseline,142.635,BS_OXT_13.04.21
2,m,6271,DG-3,F,2,62,04. Nov 20,10:23,Separation,Separation,143.498,BS_OXT_06.05.21
7,m,6235,DG-5,W,1,36,22. Jan 21,08:43,Baseline1,Baseline,143.59,BS_OXT_30.03.21
1,m,6421,DG-5,F,2,36,22. Jan 21,09:32,Baseline1,Baseline,143.98,BS_OXT_30.03.21
1,m,6142,DG-2,W,1,47,08. Sep 20,08:21,Baseline2,Baseline,144.853,BS_OXT_12.07.21
9,f,5764,DG-2,W,1,62,23. Sep 20,08:32,Baseline3,Baseline,145.155,BS_OXT_22.04.21
5,f,6197,DG-4,W,2,60,14-Dec-20,12:23,Separation,Separation,145.26,BS_OXT_10.05.21
6,m,6235,DG-5,W,1,35,21. Jan 21,08:39,Play,Play,145.373,BS_OXT_29.03.21
8,m,6235,DG-5,W,1,36,22. Jan 21,08:39,Baseline1,Baseline,145.912,BS_OXT_30.03.21
9,f,6407,DG-5,F,1,47,02. Feb 21,08:40,Baseline2,Baseline,145.922,BS_OXT_13.07.21
5,m,6235,DG-2,F,2,35,27. Aug 20,09:33,Play,Play,145.999,BS_OXT_15.12.20
2,f,6232,DG-2,F,2,47,08. Sep 20,11:01,Baseline2,Baseline,146.208,BS_OXT_21.04.21
6,m,6407,DG-5,F,1,50,05. Feb 21,08:30,Baseline2,Baseline,146.834,BS_OXT_13.07.21
8,m,6073,DG-3,W,2,63,05. Nov 20,10:40,Reunion,Reunion,147.478,BS_OXT_06.05.21
1,m,6197,DG-4,W,1,35,19. Nov 20,08:50,Play,Play,148.713,BS_OXT_29.03.21
9,f,6310,DG-4,W,1,35,19. Nov 20,08:36,Play,Play,149.881,BS_OXT_29.03.21
4,f,6271,DG-3,F,2,63,05. Nov 20,11:37,Reunion,Reunion,150.405,BS_OXT_06.05.21
9,f,5764,DG-2,W,1,62,23. Sep 20,08:56,Separation,Separation,150.422,BS_OXT_22.04.21
2,m,6099,DG-4,F,2,35,19. Nov 20,09:56,Play,Play,151.572,BS_OXT_29.03.21
1,m,6142,DG-2,W,1,28,20. Aug 20,08:41,Absetzen,Weaning,152.411,BS_OXT_08.12.20
1,m,6142,DG-2,W,1,35,27. Aug 20,08:44,Play,Play,152.902,BS_OXT_15.12.20
6,m,6073,DG-3,W,1,28,1-Oct-20,08:38,Absetzen,Weaning,153.453,BS_OXT_16.12.20
6,m,6188,DG-4,F,2,61,15-Dec-20,09:47,Baseline3,Baseline,153.733,BS_OXT_10.05.21
9,f,6407,DG-5,F,2,36,22. Jan 21,09:39,Baseline1,Baseline,153.874,BS_OXT_13.04.21
5,m,6235,DG-2,F,1,61,22. Sep 20,10:32,Separation,Separation,154.771,BS_OXT_21.04.21
10,f,6235,DG-5,W,1,63,18. Feb 21,08:27,Baseline3,Baseline,156.116,BS_OXT_25.05.21
2,m,6079,DG-3,W,2,60,02. Nov 20,10:03,Reunion,Reunion,156.196,BS_OXT_22.04.21
6,f,6235,DG-2,F,2,60,21. Sep 20,10:32,Baseline3,Baseline,156.606,BS_OXT_21.04.21
4,f,6079,DG-3,W,1,61,03. Nov 20,09:10,Reunion,Reunion,157.13,BS_OXT_22.04.21
8,f,5764,DG-2,W,2,63,24. Sep 20,10:58,Baseline3,Baseline,157.18,BS_OXT_22.04.21
8,m,6073,DG-3,W,1,49,22-Oct-20,08:25,Baseline2,Baseline,158.096,BS_OXT_13.07.21
9,f,6310,DG-4,W,1,36,20. Nov 20,08:32,Baseline1,Baseline,158.246,BS_OXT_29.03.21
2,m,6099,DG-4,F,2,28,12. Nov 20,09:10,Absetzen,Weaning,158.719,BS_OXT_29.03.21
9,f,5952,DG-2,F,1,63,24. Sep 20,08:35,Baseline3,Baseline,158.785,BS_OXT_06.05.21
8,f,5764,DG-2,W,2,63,24. Sep 20,11:24,Separation,Separation,160.538,BS_OXT_22.04.21
3,m,6197,DG-4,W,1,28,12. Nov 20,09:00,Absetzen,Weaning,160.732,BS_OXT_03.03.21
8,m,6073,DG-3,W,1,36,9-Oct-20,08:55,Baseline1,Baseline,161.19,BS_OXT_03.03.21
9,f,5952,DG-2,F,1,63,24. Sep 20,09:20,Reunion,Reunion,161.272,BS_OXT_06.05.21
1,m,6099,DG-4,F,1,64,18-Dec-20,08:49,Reunion,Reunion,161.432,BS_OXT_18.05.21
10,f,6369,DG-3,F,2,60,02. Nov 20,10:28,Separation,Separation,161.776,BS_OXT_06.05.21
3,f,6232,DG-2,F,1,60,21. Sep 20,09:18,Separation,Separation,162.457,BS_OXT_21.04.21
1,m,6271,DG-3,F,1,64,06. Nov 20,08:53,Separation,Separation,162.657,BS_OXT_10.05.21
7,m,6369,DG-3,F,1,62,04. Nov 20,09:12,Reunion,Reunion,165.107,BS_OXT_06.05.21
9,f,6073,DG-3,W,2,62,04. Nov 20,09:58,Reunion,Reunion,168.004,BS_OXT_06.05.21
5,f,6271,DG-3,F,2,36,9-Oct-20,09:49,Baseline1,Baseline,168.603,BS_OXT_03.03.21
5,f,6099,DG-4,F,1,53,7-Dec-20,09:08,Baseline2,Baseline,169.025,BS_OXT_12.07.21
4,m,6235,DG-2,F,2,63,24. Sep 20,10:55,Reunion,Reunion,169.138,BS_OXT_22.04.21
8,m,6407,DG-5,F,2,36,22. Jan 21,09:43,Baseline1,Baseline,169.175,BS_OXT_13.04.21
3,f,6420,DG-5,W,1,28,14. Jan 21,08:59,Absetzen,Weaning,169.241,BS_OXT_30.03.21
10,f,6310,DG-4,W,1,46,30. Nov 20,08:35,Baseline2,Baseline,169.971,BS_OXT_12.07.21
3,m,6197,DG-4,W,1,35,19. Nov 20,08:44,Play,Play,171.07,BS_OXT_29.03.21
5,m,6235,DG-2,F,2,36,28. Aug 20,09:14,Baseline1,Baseline,171.321,BS_OXT_15.12.20
10,f,6407,DG-5,F,2,28,14. Jan 21,09:13,Absetzen,Weaning,171.792,BS_OXT_30.03.21
4,f,6420,DG-5,W,1,35,21. Jan 21,08:41,Play,Play,173.454,BS_OXT_30.03.21
2,m,6271,DG-3,F,2,35,8-Oct-20,09:46,Play,Play,173.768,BS_OXT_03.03.21
7,m,6407,DG-5,F,1,64,19. Feb 21,09:15,Reunion,Reunion,174.662,BS_OXT_25.05.21
5,f,6079,DG-3,W,1,35,8-Oct-20,08:41,Play,Play,174.949,BS_OXT_16.12.20
4,f,6420,DG-5,W,1,47,02. Feb 21,08:30,Baseline2,Baseline,175.127,BS_OXT_12.07.21
4,f,6421,DG-5,F,2,28,14. Jan 21,09:08,Absetzen,Weaning,176.012,BS_OXT_30.03.21
9,f,6369,DG-3,F,1,60,02. Nov 20,09:20,Reunion,Reunion,176.241,BS_OXT_22.04.21
8,f,6188,DG-4,F,2,36,20. Nov 20,09:41,Baseline1,Baseline,178.244,BS_OXT_29.03.21
9,f,6188,DG-4,F,2,35,19. Nov 20,09:47,Play,Play,178.516,BS_OXT_29.03.21
7,m,6188,DG-4,F,1,53,7-Dec-20,09:10,Baseline2,Baseline,178.813,BS_OXT_12.07.21
5,f,6197,DG-4,W,2,60,14-Dec-20,12:42,Reunion,Reunion,179.407,BS_OXT_10.05.21
5,f,6421,DG-5,F,2,49,04. Feb 21,10:25,Baseline2,Baseline,179.537,BS_OXT_13.07.21
2,f,6232,DG-2,F,2,62,23. Sep 20,09:15,Baseline3,Baseline,180.432,BS_OXT_22.04.21
9,f,6369,DG-3,F,1,60,02. Nov 20,08:32,Baseline3,Baseline,180.432,BS_OXT_22.04.21
5,m,5931,DG-2,W,2,62,23. Sep 20,10:40,Separation,Separation,181.618,BS_OXT_21.04.21
6,m,6407,DG-5,F,2,64,19. Feb 21,10:49,Reunion,Reunion,182.236,BS_OXT_25.05.21
8,m,6407,DG-5,F,2,28,14. Jan 21,09:16,Absetzen,Weaning,183.559,BS_OXT_30.03.21
1,m,6271,DG-3,F,1,64,06. Nov 20,09:12,Reunion,Reunion,183.64,BS_OXT_10.05.21
7,m,6073,DG-3,W,1,50,23-Oct-20,08:20,Baseline2,Baseline,183.845,BS_OXT_13.07.21
9,f,5764,DG-2,W,1,28,20. Aug 20,08:39,Absetzen,Weaning,184.429,BS_OXT_08.12.20
9,f,6407,DG-5,F,2,35,21. Jan 21,09:43,Play,Play,184.786,BS_OXT_30.03.21
10,f,6407,DG-5,F,1,46,01. Feb 21,08:38,Baseline2,Baseline,185.608,BS_OXT_12.07.21
3,f,6421,DG-5,F,2,28,14. Jan 21,09:19,Absetzen,Weaning,187.475,BS_OXT_30.03.21
9,f,6235,DG-5,W,1,35,21. Jan 21,08:48,Play,Play,187.677,BS_OXT_30.03.21
2,f,6142,DG-2,W,1,35,27. Aug 20,08:40,Play,Play,188.784,BS_OXT_15.12.20
6,m,6369,DG-3,F,2,36,9-Oct-20,09:39,Baseline1,Baseline,189.067,BS_OXT_03.03.21
3,f,6420,DG-5,W,1,35,21. Jan 21,08:35,Play,Play,190.62,BS_OXT_13.04.21
5,f,6271,DG-3,F,2,61,03. Nov 20,11:35,Reunion,Reunion,190.965,BS_OXT_06.05.21
3,m,6197,DG-4,W,2,64,18-Dec-20,09:36,Reunion,Reunion,191.762,BS_OXT_19.05.21
7,m,5952,DG-2,F,2,62,23. Sep 20,11:51,Reunion,Reunion,192.127,BS_OXT_22.04.21
2,m,6079,DG-3,W,1,35,8-Oct-20,08:47,Play,Play,193.202,BS_OXT_16.12.20
4,f,6197,DG-4,W,1,48,2-Dec-20,08:20,Baseline2,Baseline,193.274,BS_OXT_12.07.21
9,f,6073,DG-3,W,1,28,1-Oct-20,08:56,Absetzen,Weaning,193.301,BS_OXT_16.12.20
3,f,6079,DG-3,W,1,36,9-Oct-20,08:56,Baseline1,Baseline,194.031,BS_OXT_03.03.21
6,f,5931,DG-2,W,1,35,27. Aug 20,08:48,Play,Play,194.667,BS_OXT_15.12.20
10,f,6407,DG-5,F,1,49,04. Feb 21,08:28,Baseline2,Baseline,194.705,BS_OXT_12.07.21
10,f,6073,DG-3,W,1,36,9-Oct-20,08:47,Baseline1,Baseline,195.003,BS_OXT_03.03.21
