sample,sex,sow,dg,group,group.order,lt,date,time,testday,context,oxt_pgml,plate.name
10,f,6369,DG-3,F,2,60,02. Nov 20,10:48,Reunion,Reunion,245.201,BS_OXT_06.05.21
7,m,6369,DG-3,F,2,36,9-Oct-20,09:48,Baseline1,Baseline,245.399,BS_OXT_03.03.21
8,m,5952,DG-2,F,2,61,22. Sep 20,12:08,Separation,Separation,245.484,BS_OXT_22.04.21
7,m,6188,DG-4,F,2,36,20. Nov 20,09:46,Baseline1,Baseline,250.294,BS_OXT_29.03.21
7,m,5952,DG-2,F,2,62,23. Sep 20,11:30,Separation,Separation,251.741,BS_OXT_22.04.21
3,f,6142,DG-2,W,2,61,22. Sep 20,11:19,Separation,Separation,252.541,BS_OXT_22.04.21
4,m,5931,DG-2,W,2,60,21. Sep 20,11:49,Separation,Separation,253.125,BS_OXT_21.04.21
7,m,6369,DG-3,F,1,48,21-Oct-20,08:25,Baseline2,Baseline,254.005,BS_OXT_13.07.21
6,m,6407,DG-5,F,2,64,19. Feb 21,10:00,Baseline3,Baseline,258.624,BS_OXT_25.05.21
1,m,6142,DG-2,W,1,36,28. Aug 20,08:43,Baseline1,Baseline,262.669,BS_OXT_15.12.20
4,f,6421,DG-5,F,2,35,21. Jan 21,09:36,Play,Play,263.587,BS_OXT_30.03.21
5,m,5931,DG-2,W,2,62,23. Sep 20,10:07,Baseline3,Baseline,265.132,BS_OXT_06.05.21
3,f,6421,DG-5,F,2,35,21. Jan 21,09:33,Play,Play,268.202,BS_OXT_30.03.21
10,f,6073,DG-3,W,1,63,05. Nov 20,08:25,Baseline3,Baseline,268.882,BS_OXT_10.05.21
10,f,6310,DG-4,W,1,36,20. Nov 20,08:41,Baseline1,Baseline,269.76,BS_OXT_29.03.21
8,m,6369,DG-3,F,2,63,05. Nov 20,09:12,Baseline3,Baseline,270.528,BS_OXT_06.05.21
9,f,5764,DG-2,W,1,35,27. Aug 20,08:52,Play,Play,270.932,BS_OXT_15.12.20
4,m,6235,DG-2,F,2,36,28. Aug 20,09:07,Baseline1,Baseline,271.547,BS_OXT_15.12.20
3,m,6099,DG-4,F,2,35,19. Nov 20,09:53,Play,Play,271.578,BS_OXT_29.03.21
4,m,6235,DG-2,F,2,63,24. Sep 20,10:35,Separation,Separation,271.791,BS_OXT_22.04.21
8,f,5764,DG-2,W,1,35,27. Aug 20,08:41,Play,Play,273.872,BS_OXT_15.12.20
3,f,6421,DG-5,F,2,36,22. Jan 21,09:34,Baseline1,Baseline,275.417,BS_OXT_13.04.21
7,m,6073,DG-3,W,2,60,02. Nov 20,10:48,Baseline3,Baseline,276.574,BS_OXT_06.05.21
9,f,6407,DG-5,F,2,28,14. Jan 21,09:17,Absetzen,Weaning,276.589,BS_OXT_30.03.21
4,f,6271,DG-3,F,2,28,1-Oct-20,09:03,Absetzen,Weaning,279.449,BS_OXT_16.12.20
7,m,5952,DG-2,F,2,35,27. Aug 20,09:53,Play,Play,280.37,BS_OXT_15.12.20
9,f,6073,DG-3,W,1,36,9-Oct-20,08:49,Baseline1,Baseline,280.783,BS_OXT_03.03.21
5,f,6271,DG-3,F,2,61,03. Nov 20,10:55,Baseline3,Baseline,281.463,BS_OXT_06.05.21
3,f,6271,DG-3,F,2,35,8-Oct-20,09:36,Play,Play,281.581,BS_OXT_16.12.20
2,f,6232,DG-2,F,2,62,23. Sep 20,09:45,Separation,Separation,282.865,BS_OXT_22.04.21
4,f,6079,DG-3,W,1,36,9-Oct-20,08:45,Baseline1,Baseline,283.582,BS_OXT_03.03.21
8,f,5764,DG-2,W,2,48,09. Sep 20,11:00,Baseline2,Baseline,284.45,BS_OXT_21.04.21
2,m,6099,DG-4,F,1,50,4-Dec-20,08:20,Baseline2,Baseline,285.265,BS_OXT_12.07.21
8,m,6369,DG-3,F,2,36,9-Oct-20,09:45,Baseline1,Baseline,285.837,BS_OXT_03.03.21
7,m,6407,DG-5,F,2,36,22. Jan 21,09:47,Baseline1,Baseline,286.569,BS_OXT_13.04.21
9,f,5764,DG-2,W,1,36,28. Aug 20,08:40,Baseline1,Baseline,291.214,BS_OXT_15.12.20
3,f,6271,DG-3,F,2,64,06. Nov 20,10:00,Baseline3,Baseline,292.63,BS_OXT_10.05.21
7,m,5952,DG-2,F,2,36,28. Aug 20,09:13,Baseline1,Baseline,292.751,BS_OXT_15.12.20
3,f,6079,DG-3,W,1,35,8-Oct-20,08:36,Play,Play,294.14,BS_OXT_16.12.20
10,f,6073,DG-3,W,1,35,8-Oct-20,08:53,Play,Play,296.532,BS_OXT_16.12.20
8,f,6310,DG-4,W,1,36,20. Nov 20,08:52,Baseline1,Baseline,297.483,BS_OXT_29.03.21
1,m,6232,DG-2,F,2,36,28. Aug 20,09:08,Baseline1,Baseline,297.87,BS_OXT_15.12.20
3,f,6142,DG-2,W,1,35,27. Aug 20,08:46,Play,Play,299.512,BS_OXT_15.12.20
2,f,6142,DG-2,W,2,63,24. Sep 20,10:09,Reunion,Reunion,299.567,BS_OXT_22.04.21
2,m,6271,DG-3,F,2,62,04. Nov 20,10:44,Reunion,Reunion,301.275,BS_OXT_06.05.21
9,f,5952,DG-2,F,2,28,20. Aug 20,09:13,Absetzen,Weaning,301.773,BS_OXT_15.12.20
6,f,5931,DG-2,W,1,36,28. Aug 20,08:33,Baseline1,Baseline,306.091,BS_OXT_15.12.20
7,m,6073,DG-3,W,1,36,9-Oct-20,08:36,Baseline1,Baseline,307.324,BS_OXT_03.03.21
2,m,6079,DG-3,W,1,28,1-Oct-20,08:47,Absetzen,Weaning,309.777,BS_OXT_16.12.20
9,f,6369,DG-3,F,2,28,1-Oct-20,09:08,Absetzen,Weaning,313.194,BS_OXT_16.12.20
7,m,6073,DG-3,W,1,28,1-Oct-20,08:40,Absetzen,Weaning,314.822,BS_OXT_16.12.20
7,m,5764,DG-2,W,1,28,20. Aug 20,08:51,Absetzen,Weaning,322.899,BS_OXT_08.12.20
5,f,6197,DG-4,W,1,53,7-Dec-20,09:05,Baseline2,Baseline,323.532,BS_OXT_12.07.21
5,f,6271,DG-3,F,2,28,1-Oct-20,09:18,Absetzen,Weaning,324.35,BS_OXT_16.12.20
7,m,6369,DG-3,F,2,35,8-Oct-20,09:38,Play,Play,324.457,BS_OXT_16.12.20
9,f,6188,DG-4,F,2,60,14-Dec-20,11:10,Baseline3,Baseline,326.701,BS_OXT_10.05.21
2,f,6142,DG-2,W,2,48,09. Sep 20,11:02,Baseline2,Baseline,327.092,BS_OXT_21.04.21
4,m,5931,DG-2,W,1,36,28. Aug 20,08:40,Baseline1,Baseline,334.626,BS_OXT_15.12.20
4,m,6235,DG-2,F,2,28,20. Aug 20,09:08,Absetzen,Weaning,336.073,BS_OXT_08.12.20
5,f,6079,DG-3,W,2,62,04. Nov 20,10:44,Baseline3,Baseline,337.066,BS_OXT_06.05.21
8,m,6073,DG-3,W,1,35,8-Oct-20,08:49,Play,Play,340.407,BS_OXT_16.12.20
2,f,6232,DG-2,F,2,35,27. Aug 20,09:39,Play,Play,342.437,BS_OXT_15.12.20
7,m,6188,DG-4,F,2,35,19. Nov 20,09:57,Play,Play,342.717,BS_OXT_29.03.21
5,f,6421,DG-5,F,2,35,21. Jan 21,09:33,Play,Play,347.217,BS_OXT_30.03.21
8,m,5952,DG-2,F,2,49,10. Sep 20,10:26,Baseline2,Baseline,351.385,BS_OXT_21.04.21
2,f,6142,DG-2,W,1,36,28. Aug 20,08:39,Baseline1,Baseline,352.973,BS_OXT_15.12.20
3,f,6142,DG-2,W,2,61,22. Sep 20,10:52,Baseline3,Baseline,356.029,BS_OXT_22.04.21
1,m,6271,DG-3,F,2,28,1-Oct-20,09:14,Absetzen,Weaning,356.172,BS_OXT_16.12.20
5,f,6079,DG-3,W,1,28,1-Oct-20,08:48,Absetzen,Weaning,356.672,BS_OXT_16.12.20
3,f,6142,DG-2,W,1,36,28. Aug 20,08:46,Baseline1,Baseline,356.732,BS_OXT_15.12.20
5,m,6235,DG-2,F,2,28,20. Aug 20,09:02,Absetzen,Weaning,361.195,BS_OXT_08.12.20
8,f,5764,DG-2,W,1,36,28. Aug 20,08:43,Baseline1,Baseline,372.522,BS_OXT_15.12.20
3,f,6271,DG-3,F,2,28,1-Oct-20,09:14,Absetzen,Weaning,375.671,BS_OXT_16.12.20
4,f,6099,DG-4,F,2,36,20. Nov 20,09:57,Baseline1,Baseline,376.257,BS_OXT_30.03.21
9,f,6073,DG-3,W,1,35,8-Oct-20,08:59,Play,Play,379.199,BS_OXT_16.12.20
8,f,5764,DG-2,W,1,47,08. Sep 20,08:16,Baseline2,Baseline,382.705,BS_OXT_12.07.21
9,f,5764,DG-2,W,1,47,08. Sep 20,08:21,Baseline2,Baseline,385.409,BS_OXT_13.04.21
7,m,5764,DG-2,W,1,36,28. Aug 20,08:46,Baseline1,Baseline,387.32,BS_OXT_15.12.20
5,m,5931,DG-2,W,1,36,28. Aug 20,08:36,Baseline1,Baseline,398.789,BS_OXT_15.12.20
8,m,6073,DG-3,W,1,28,1-Oct-20,08:43,Absetzen,Weaning,400.541,BS_OXT_16.12.20
7,m,6073,DG-3,W,1,35,8-Oct-20,08:35,Play,Play,404.064,BS_OXT_16.12.20
3,f,6232,DG-2,F,2,36,28. Aug 20,09:17,Baseline1,Baseline,409.844,BS_OXT_16.12.20
