"sex","sow","group.order","age","date","time","testday","context","cort_ngml","plate.name.cort","uniq.group","uniq.id","oxyt_pgml","plate.name.oxyt","time.n","time.n.z","age.z"
"f",17,2,61,2021-02-16,10:45:00,"Baseline3","Baseline",2.69,"Petra Cort 31.05.21","DG-5_F","DG-5_F_4",82.093,"BS_OXT_19.05.21",10.75,1.10601881932144,1.02765094108416
"f",17,2,61,2021-02-16,11:10:00,"Separation","Separation",6.774,"Petra Cort 31.05.21","DG-5_F","DG-5_F_4",46.118,"BS_OXT_19.05.21",11.1666666666667,1.50856080928532,1.02765094108416
"f",17,2,61,2021-02-16,11:28:00,"Reunion","Reunion",10.71,"Petra Cort 31.05.21","DG-5_F","DG-5_F_4",85.137,"BS_OXT_19.05.21",11.4666666666667,1.79839104205931,1.02765094108416
"m",2,1,28,2020-08-20,08:40:00,"Weaning","Weaning",17.104,"PM_Cort_19.02.21","DG-2_W","DG-2_W_5",NA,NA,8.66666666666667,-0.906691130497951,-1.51721113840229
"m",2,1,36,2020-08-28,08:36:00,"Baseline1","Baseline",8.67,"Petra_Cort_07.04.21","DG-2_W","DG-2_W_5",398.789,"BS_OXT_15.12.20",8.6,-0.971097848892171,-0.900274876708607
"m",2,1,47,2020-09-08,08:17:00,"Baseline2","Baseline",6.169,"Petra Cort 11.06.21","DG-2_W","DG-2_W_5",NA,NA,8.28333333333333,-1.27702976126472,-0.0519875168797908
"m",2,2,62,2020-09-23,10:07:00,"Baseline3","Baseline",6.957,"Petra_Cort_29.04.21","DG-2_W","DG-2_W_5",265.132,"BS_OXT_06.05.21",10.1166666666667,0.494154994576347,1.10476797379587
"m",2,2,62,2020-09-23,10:40:00,"Separation","Separation",10.009,"Petra_Cort_29.04.21","DG-2_W","DG-2_W_5",181.618,"BS_OXT_21.04.21",10.6666666666667,1.02551042132867,1.10476797379587
"m",2,2,62,2020-09-23,11:00:00,"Reunion","Reunion",8.409,"Petra_Cort_29.04.21","DG-2_W","DG-2_W_5",124.687,"BS_OXT_21.04.21",11,1.34754401329977,1.10476797379587
"f",5,2,62,2020-11-04,10:44:00,"Baseline3","Baseline",8.231,"Petra Cort 14.05.21","DG-3_W","DG-3_W_5",337.066,"BS_OXT_06.05.21",10.7333333333333,1.08991713972289,1.10476797379587
"f",5,2,62,2020-11-04,11:10:00,"Separation","Separation",5.988,"Petra Cort 14.05.21","DG-3_W","DG-3_W_5",73.712,"BS_OXT_06.05.21",11.1666666666667,1.50856080928532,1.10476797379587
