"sex","sow","group.order","age","date","time","testday","context","cort_ngml","plate.name.cort","uniq.group","uniq.id","oxyt_pgml","plate.name.oxyt","time.n","time.n.z","age.z"
"f",7,2,61,2020-09-22,11:41:00,"Reunion","Reunion",9.386,"Petra_Cort_29.04.21","DG-2_W","DG-2_W_3",92.603,"BS_OXT_22.04.21",11.6833333333333,2.00771287684053,1.02765094108416
"f",7,1,49,2020-10-09,08:27:00,"Baseline2","Baseline",5.751,"Petra Cort 09.06.21","DG-2_W","DG-2_W_3",NA,NA,8.45,-1.11601296527917,0.10224654854363
"m",9,1,28,2020-11-12,09:00:00,"Weaning","Weaning",21.947,"Petra_Cort_12.04.21","DG-4_W","DG-4_W_3",160.732,"BS_OXT_03.03.21",9,-0.584657538526848,-1.51721113840229
"m",9,2,64,2020-12-18,08:49:00,"Baseline3","Baseline",11.457,"Petra Cort 27.05.21","DG-4_W","DG-4_W_3",105.395,"BS_OXT_19.05.21",8.81666666666667,-0.761776014110954,1.25900203921929
"m",9,2,64,2020-12-18,09:15:00,"Separation","Separation",9.835,"Petra Cort 27.05.21","DG-4_W","DG-4_W_3",61.881,"BS_OXT_19.05.21",9.25,-0.343132344548521,1.25900203921929
"m",9,2,64,2020-12-18,09:36:00,"Reunion","Reunion",11.937,"Petra Cort 27.05.21","DG-4_W","DG-4_W_3",191.762,"BS_OXT_19.05.21",9.6,-0.00499707297886308,1.25900203921929
"m",9,1,50,2020-12-04,08:15:00,"Baseline2","Baseline",4.152,"Petra Cort 12.07.21","DG-4_W","DG-4_W_3",119.451,"BS_OXT_12.07.21",8.25,-1.30923312046183,0.179363581255341
"f",10,2,35,2020-08-27,09:51:00,"Play","Play",10.67,"PM_Cort_19.02.21","DG-2_F","DG-2_F_3",NA,NA,9.85,0.236528120999464,-0.977391909420317
"f",10,2,36,2020-08-28,09:17:00,"Baseline1","Baseline",5.955,"Petra_Cort_07.04.21","DG-2_F","DG-2_F_3",409.844,"BS_OXT_16.12.20",9.28333333333333,-0.31092898535141,-0.900274876708607
"f",10,1,46,2020-09-07,08:40:00,"Baseline2","Baseline",7.6,"Petra Cort 03.06.21","DG-2_F","DG-2_F_3",NA,NA,8.66666666666667,-0.906691130497951,-0.129104549591501
"f",10,1,60,2020-09-21,08:44:00,"Baseline3","Baseline",8.067,"Petra_Cort_29.04.21","DG-2_F","DG-2_F_3",210.445,"BS_OXT_21.04.21",8.73333333333333,-0.842284412103731,0.950533908372446
"f",10,1,60,2020-09-21,09:18:00,"Separation","Separation",8.878,"Petra_Cort_29.04.21","DG-2_F","DG-2_F_3",162.457,"BS_OXT_21.04.21",9.3,-0.294827305752855,0.950533908372446
"f",10,1,60,2020-09-21,09:41:00,"Reunion","Reunion",7.571,"Petra_Cort_29.04.21","DG-2_F","DG-2_F_3",205.542,"BS_OXT_21.04.21",9.68333333333333,0.0755113250139132,0.950533908372446
"f",10,2,49,2020-10-09,10:33:00,"Baseline2","Baseline",3.564,"Petra Cort 03.06.21","DG-2_F","DG-2_F_3",NA,NA,10.55,0.912798664138781,0.10224654854363
"f",12,2,64,2020-11-06,10:00:00,"Baseline3","Baseline",4.627,"Petra Cort 14.05.21","DG-3_F","DG-3_F_3",292.63,"BS_OXT_10.05.21",10,0.381443237386461,1.25900203921929
"f",12,2,64,2020-11-06,10:26:00,"Separation","Separation",4.829,"Petra Cort 14.05.21","DG-3_F","DG-3_F_3",125.572,"BS_OXT_10.05.21",10.4333333333333,0.800086906948894,1.25900203921929
"f",12,2,64,2020-11-06,10:45:00,"Reunion","Reunion",3.078,"Petra Cort 14.05.21","DG-3_F","DG-3_F_3",97.028,"BS_OXT_10.05.21",10.75,1.10601881932144,1.25900203921929
"f",12,2,28,2020-10-01,09:14:00,"Weaning","Weaning",6.995,"Petra_Cort_12.04.21","DG-3_F","DG-3_F_3",375.671,"BS_OXT_16.12.20",9.23333333333333,-0.359234024147077,-1.51721113840229
"f",12,1,48,2020-10-21,08:20:00,"Baseline2","Baseline",2.929,"Petra Cort 14.06.21","DG-3_F","DG-3_F_3",NA,NA,8.33333333333333,-1.22872472246905,0.0251295158319197
"f",12,1,49,2020-10-22,08:20:00,"Baseline2","Baseline",4.46,"Petra Cort 14.06.21","DG-3_F","DG-3_F_3",NA,NA,8.33333333333333,-1.22872472246905,0.10224654854363
"f",12,1,50,2020-10-23,08:25:00,"Baseline2","Baseline",3.497,"Petra Cort 14.06.21","DG-3_F","DG-3_F_3",NA,NA,8.41666666666667,-1.14821632447628,0.179363581255341
"f",12,1,55,2020-10-28,09:39:00,"Baseline2","Baseline",2.956,"Petra Cort 14.06.21","DG-3_F","DG-3_F_3",NA,NA,9.65,0.043307965816803,0.564948744813893
"f",12,2,35,2020-10-08,09:36:00,"Play","Play",5.114,"Petra_Cort_12.04.21","DG-3_F","DG-3_F_3",281.581,"BS_OXT_16.12.20",9.6,-0.00499707297886308,-0.977391909420317
"f",12,2,36,2020-10-09,09:38:00,"Baseline1","Baseline",5.658,"Petra_Cort_12.04.21","DG-3_F","DG-3_F_3",203.17,"BS_OXT_03.03.21",9.63333333333333,0.0272062862182471,-0.900274876708607
"f",16,1,28,2021-01-14,08:59:00,"Weaning","Weaning",13.829,"Petra_Cort_16.04.21","DG-5_W","DG-5_W_3",169.241,"BS_OXT_30.03.21",8.98333333333333,-0.600759218125404,-1.51721113840229
"f",16,1,35,2021-01-21,08:35:00,"Play","Play",6.377,"Petra_Cort_16.04.21","DG-5_W","DG-5_W_3",190.62,"BS_OXT_13.04.21",8.58333333333333,-0.987199528490726,-0.977391909420317
"f",16,1,36,2021-01-22,08:36:00,"Baseline1","Baseline",6.179,"Petra_Cort_16.04.21","DG-5_W","DG-5_W_3",NA,NA,8.6,-0.971097848892171,-0.900274876708607
"f",16,2,46,2021-02-01,11:15:00,"Baseline2","Baseline",7.873,"Petra Cort 22.06.21","DG-5_W","DG-5_W_3",NA,NA,11.25,1.5890692072781,-0.129104549591501
"f",16,1,50,2021-02-05,08:25:00,"Baseline2","Baseline",8.277,"Petra Cort 22.06.21","DG-5_W","DG-5_W_3",NA,NA,8.41666666666667,-1.14821632447628,0.179363581255341
"f",16,2,60,2021-02-15,09:20:00,"Baseline3","Baseline",2.214,"Petra Cort 31.05.21","DG-5_W","DG-5_W_3",46.537,"BS_OXT_19.05.21",9.33333333333333,-0.262623946555744,0.950533908372446
"f",16,2,60,2021-02-15,09:45:00,"Separation","Separation",22.42,"Petra Cort 31.05.21","DG-5_W","DG-5_W_3",50.984,"BS_OXT_19.05.21",9.75,0.139918043408134,0.950533908372446
"f",16,2,60,2021-02-15,10:03:00,"Reunion","Reunion",6.459,"Petra Cort 31.05.21","DG-5_W","DG-5_W_3",71.506,"BS_OXT_19.05.21",10.05,0.429748276182127,0.950533908372446
"f",17,2,35,2021-01-21,09:33:00,"Play","Play",18.157,"Petra_Cort_16.04.21","DG-5_F","DG-5_F_3",268.202,"BS_OXT_30.03.21",9.55,-0.0533021117745275,-0.977391909420317
"f",17,2,36,2021-01-22,09:34:00,"Baseline1","Baseline",4.988,"Petra_Cort_16.04.21","DG-5_F","DG-5_F_3",275.417,"BS_OXT_13.04.21",9.56666666666667,-0.0372004321759732,-0.900274876708607
"f",17,2,47,2021-02-02,10:36:00,"Baseline2","Baseline",2.081,"Petra Cort 21.06.21","DG-5_F","DG-5_F_3",113.353,"BS_OXT_13.07.21",10.6,0.961103702934445,-0.0519875168797908
"f",17,2,61,2021-02-16,09:17:00,"Baseline3","Baseline",6.063,"Petra Cort 31.05.21","DG-5_F","DG-5_F_3",84.885,"BS_OXT_19.05.21",9.28333333333333,-0.31092898535141,1.02765094108416
"f",17,2,61,2021-02-16,09:40:00,"Separation","Separation",4.428,"Petra Cort 31.05.21","DG-5_F","DG-5_F_3",45.473,"BS_OXT_19.05.21",9.66666666666667,0.0594096454153572,1.02765094108416
"f",17,2,61,2021-02-16,10:00:00,"Reunion","Reunion",4.436,"Petra Cort 31.05.21","DG-5_F","DG-5_F_3",37.544,"BS_OXT_19.05.21",10,0.381443237386461,1.02765094108416
